ID,A,B,ANNT,time,PAD
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a,89,134,A,2023-04-27 16:23:52.074988,
0cbaa3ae-5376-4d7f-8053-7daba92be456,91,33,A,2023-04-27 16:27:25.627673,
0cbaa3ae-5376-4d7f-8053-7daba92be456,42,43,B,2023-04-27 16:28:58.811368,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e,118,21,B,2023-04-27 16:29:49.281720,
c90996eb-23a6-4e52-a513-6064c2a1cc08,117,181,N,2023-04-27 16:30:34.178444,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,2,1,E,2023-04-27 16:55:59.593457,
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,96,102,B,2023-04-27 16:59:38.255784,
15441163-83ea-493e-adda-61d2b8d8d5b0,58,184,A,2023-04-27 17:04:01.367643,
a11999eb-48ab-4655-b2e7-a102e7210111,31,145,B,2023-04-27 17:30:22.523575,
a11999eb-48ab-4655-b2e7-a102e7210111,70,53,B,2023-04-27 17:32:58.353344,
43cb580e-dcc1-438e-b4dc-19303e208aaf,61,150,A,2023-04-27 19:20:44.575776,
43cb580e-dcc1-438e-b4dc-19303e208aaf,69,152,A,2023-04-27 19:23:22.584789,
a680318c-8079-4ec8-9ea6-80ae2addc343,26,117,A,2023-04-27 22:02:29.232935,
a680318c-8079-4ec8-9ea6-80ae2addc343,1,114,A,2023-04-27 22:04:52.891014,
33253213-2bfe-40e3-8131-2e175da84c1c,172,12,B,2023-05-05 15:16:42.529183,
2f12fa57-37c6-4486-be84-ac4e5dc569c2,104,7,B,2023-05-05 15:23:15.071408,
2f12fa57-37c6-4486-be84-ac4e5dc569c2,10,75,B,2023-05-05 15:25:33.620006,
70d6994c-b6d4-4e92-9d50-e1c25931d401,97,111,E,2023-05-05 16:16:24.449405,
70d6994c-b6d4-4e92-9d50-e1c25931d401,163,9,A,2023-05-05 16:20:43.153740,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,134,162,A,2023-05-05 17:23:43.574288,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,81,30,B,2023-05-05 17:25:02.425048,
90237211-82c9-4695-9a59-8d975f6bef3a,10,184,A,2023-05-05 17:44:06.460600,
90237211-82c9-4695-9a59-8d975f6bef3a,84,149,B,2023-05-05 17:47:04.053755,
f4885253-5a0a-43b2-b93a-d2e24180e4cc,24,191,A,2023-05-05 18:52:41.706661,
fdb9bf30-0d9b-4985-bdff-661806be4fe5,170,168,A,2023-05-05 19:02:03.884332,
fdb9bf30-0d9b-4985-bdff-661806be4fe5,40,53,N,2023-05-05 19:03:42.690779,
2482c1ca-0da2-4288-a8a6-c5e41050e310,192,109,B,2023-05-05 19:58:05.741468,
2482c1ca-0da2-4288-a8a6-c5e41050e310,29,3,A,2023-05-05 20:00:00.982271,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,87,36,A,2023-05-05 21:51:08.283509,
f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,34,55,A,2023-05-05 21:53:33.053763,
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c,152,155,E,2023-05-06 00:16:52.854759,
cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c,184,166,N,2023-05-06 00:19:22.167527,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0,25,46,B,2023-05-06 09:08:59.150428,
95c108b2-2aa7-4a86-84b1-5c01d2455ec0,84,142,E,2023-05-06 09:11:08.044559,
0c490eda-0204-4232-aca2-4918ee2e8bf8,93,173,A,2023-05-06 09:26:24.071178,
0c490eda-0204-4232-aca2-4918ee2e8bf8,178,29,A,2023-05-06 09:29:38.735024,
4324f040-147a-443b-b639-125efb4faf24,134,55,N,2023-05-06 11:14:19.308190,
4324f040-147a-443b-b639-125efb4faf24,74,150,B,2023-05-06 11:32:10.445421,
a3bbdd04-4020-4bc8-95d2-692568fe9115,154,196,B,2023-05-06 15:04:07.432236,
a3bbdd04-4020-4bc8-95d2-692568fe9115,19,72,A,2023-05-06 15:07:07.439679,
067d54d0-b2cc-4d65-9348-f1dae3fc9398,107,58,A,2023-05-06 16:49:37.123212,
067d54d0-b2cc-4d65-9348-f1dae3fc9398,170,113,N,2023-05-06 16:51:42.941503,
802a59f5-d805-4c5c-b7ec-a73b1a266b69,104,195,E,2023-05-06 16:53:00.601714,
4013d0a0-8554-4fdb-9e59-aa8409877849,91,69,E,2023-05-06 17:09:07.891354,
4013d0a0-8554-4fdb-9e59-aa8409877849,171,136,N,2023-05-06 17:11:23.809145,
2831d68c-40b8-4ba0-8974-1afacaed6762,80,26,A,2023-05-06 19:23:06.203685,
2831d68c-40b8-4ba0-8974-1afacaed6762,186,31,B,2023-05-06 19:27:10.163632,
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89,114,27,E,2023-05-06 21:21:46.969214,
41fdb80c-6516-4d73-8b79-6f863a3287d0,78,161,N,2023-05-06 21:23:01.168961,
c3e1cda7-b7fd-46b6-925b-0cbfb85bae89,122,179,B,2023-05-06 21:23:50.061808,
41fdb80c-6516-4d73-8b79-6f863a3287d0,52,182,B,2023-05-06 21:25:44.374184,
